param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,param_classifier__reg_lambda,param_classifier__subsample,param_classifier__subsample_freq,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0.01,3,50,7,1,0.4,1,0.5961251862891207,0.6347305389221557,0.6082036775106082,0.617816091954023,0.6546003016591252
0.01,3,50,7,1,0.6,1,0.5961251862891207,0.6292466765140325,0.617816091954023,0.6266471449487555,0.6554878048780488
0.01,3,50,7,1,0.8,1,0.6003016591251885,0.6314199395770392,0.6144927536231884,0.6128550074738416,0.6584992343032159
0.01,3,50,7,3,0.4,1,0.5973254086181278,0.6367713004484304,0.6064880112834978,0.6180257510729614,0.6595744680851063
0.01,3,50,7,3,0.6,1,0.5967016491754122,0.6292466765140325,0.6153846153846154,0.6266471449487555,0.6565349544072948
0.01,3,50,7,3,0.8,1,0.6003016591251885,0.6314199395770392,0.6164978292329957,0.6128550074738416,0.6506024096385542
0.01,3,50,7,7,0.4,1,0.5934718100890207,0.6367713004484304,0.6039325842696629,0.62,0.6546003016591252
0.01,3,50,7,7,0.6,1,0.5967016491754122,0.6292466765140325,0.6118980169971672,0.618978102189781,0.6534954407294833
0.01,3,50,7,7,0.8,1,0.6003016591251885,0.6314199395770392,0.6173913043478261,0.6096096096096096,0.6506024096385542
0.01,3,50,15,1,0.4,1,0.5961251862891207,0.6347305389221557,0.6082036775106082,0.617816091954023,0.6546003016591252
0.01,3,50,15,1,0.6,1,0.5961251862891207,0.6292466765140325,0.617816091954023,0.6266471449487555,0.6574923547400612
0.01,3,50,15,1,0.8,1,0.6003016591251885,0.6314199395770392,0.6144927536231884,0.6128550074738416,0.6584992343032159
0.01,3,50,15,3,0.4,1,0.5973254086181278,0.6367713004484304,0.6064880112834978,0.6180257510729614,0.6595744680851063
0.01,3,50,15,3,0.6,1,0.5967016491754122,0.6292466765140325,0.6153846153846154,0.6266471449487555,0.6565349544072948
0.01,3,50,15,3,0.8,1,0.6003016591251885,0.6314199395770392,0.6164978292329957,0.6128550074738416,0.6506024096385542
0.01,3,50,15,7,0.4,1,0.5934718100890207,0.6367713004484304,0.6039325842696629,0.62,0.6546003016591252
0.01,3,50,15,7,0.6,1,0.5931445603576752,0.6292466765140325,0.6118980169971672,0.618978102189781,0.6534954407294833
